Food_items,Breakfast,Lunch,Dinner,Class,Calories,Fats,Proteins,Carbohydrates,Fibre
Almonds,1,0,0,0,165,14,6,6,3
Apples,1,0,0,0,52,0.2,0.3,14,24
Avocados,1,0,0,0,160,15,2,8.5,6.7
Bagels made in wheat,0,1,1,0,250,1.5,10,49,4.1
Banana Chips,1,0,0,0,519,34,2.3,58,7.7
Bananas,1,0,0,0,89,0.3,1.1,23,2.6
Barley,0,1,1,0,116,0.38,9.02,20.13,7.9
Beans,1,1,0,0,115,1,8,21,6
Berries,1,0,0,0,349,0.4,14,77,13
Black beans,1,0,1,0,114,0,8,20.39,7.5
Blackberries,1,0,1,0,62,0.8,2,14,8
Blueberries,1,0,0,0,80,0.8,1,11,2
Boiled Potatoes,1,1,1,0,87,0.1,1.9,20,2
Brocolli,0,1,1,0,25,0.5,3.8,3.1,2.8
Brown Rice,0,1,1,0,362,2.7,7.5,76,3.4
Brownie,1,0,0,0,407,6.2,4.4,84,2.9
Bulgur,0,0,1,0,151,0.9,6,34,8
Cashew Nuts,1,0,0,0,553,44,18,30,3.3
Cauliflower,0,1,1,0,32,0.3,3,6.3,3.3
Cereals-Corn Flakes,1,0,0,0,384,0.9,5.9,88,2.7
Chappati,0,1,1,0,297,7.5,11,46,4.9
Chia seeds,1,0,0,0,486,31,17,42,34
Chickpeas,0,1,1,0,269,4.25,14.5,44.9,12.5
Chocolate Icecream,0,0,1,0,216,11,3.8,28,1.2
Coffee,1,0,0,0,2,0,0.3,0.2,0
Corn,1,1,1,0,97,1.4,3.3,22,2.7
Dal Makhani,0,1,1,0,109,8.5,2.1,6.3,1.5
Dark chocolates,0,0,1,0,556,32,5.5,60,6.5
Dosa,1,1,1,0,168,3.7,4.5,29,0.9
Egg Yolk cooked,1,0,0,1,196,15,14,0.8,0
Eggplant,0,1,1,0,20,0.2,1,5,3
Eggs,1,1,1,1,77,5.3,6.3,0.6,0
flax seeds,1,0,0,0,270,4.2,1.8,2.9,2
Fortified milk,1,0,1,0,122,5,8,12,2
Grapes,1,0,0,0,93,2.1,5.6,17,11
Green Tea,1,0,0,0,1,0,0.2,0,0
Honey,1,0,1,0,304,0,0.3,82,0.2
Idli,1,1,1,0,156,1.7,5,30.2,2.1
Lentils,0,1,0,0,116,0.8,17.9,36,14
Milk,1,0,1,0,97,6.9,3.8,5.2,0
Millets,1,1,0,0,174,1.7,6,41,2.2
Mushrooms,0,1,1,0,22,0,3,3,1
Noodles,0,1,1,0,108,0.2,1.8,24,1
oats,1,0,0,0,307,5,13,51,8
Onions,0,1,1,0,40,0.1,1.1,9.3,1.7
Orange,1,0,0,0,97,0.2,1.5,25,11
Orange juice,1,0,0,0,45,0.2,0.7,10,0.2
Pasta canned with tomato sauce,0,1,1,0,71,0.7,2.2,14,0.9
Pasta with corn homemade,0,1,1,0,126,0.7,2.6,28,4.8
Pears,1,0,0,0,57,0.1,0.4,15,3.1
Peas,0,1,1,0,81,0.4,5.4,14,5.7
Poha,1,0,0,0,130,1.5,2.6,26.9,1.1
Pop Corn,1,0,1,0,429,9.5,13,73,14
Protein Powder,1,0,0,0,411,17,46,19,7.1
Pumpkin,0,1,1,0,18,0.1,0.7,4.3,1.1
Quinoa grains,0,1,0,0,222,2,8,39,5.18
Raspberries,1,0,1,0,64,0.8,1.5,14.7,8
Spinach(cooked),0,1,1,0,14,0.1,0.9,1.1,0.7
Strawberries,1,0,0,0,32,0.3,0.7,7.7,2
Strawberry Icecream,0,0,1,0,192,8.4,3.2,28,0.9
Sunflower seeds,1,1,1,0,163,14,5.5,6.5,3
Sweet Potatoes cooked,1,1,0,0,76,0.1,1.4,18,2.5
Tea,1,0,0,0,1,0,0,0.2,0
Tomato,1,1,1,0,16,0.2,1.2,3.2,0.9
Tuna Fish,0,0,1,1,184,6.3,30,0,0
Tuna Salad,0,1,1,1,187,9.3,16,9.4,0
Uttapam,1,1,1,0,188,7.2,4.4,26.4,2.2
Vanilla Ice cream,0,0,1,0,207,11,3.5,24,0.7
White Rice,0,1,1,0,360,0.6,6.6,79,1.4
Whole wheat,1,0,1,0,408,3,16,86,13
Yogurt,1,1,1,0,60,4,3.1,7,0
