Calories,Fats,Proteins,Carbohydrates,Fibre
165,14,6,6,3
52,0.2,0.3,14,24
160,15,2,8.5,6.7
519,34,2.3,58,7.7
89,0.3,1.1,23,2.6
115,1,8,21,6
349,0.4,14,77,13
114,0,8,20.39,7.5
62,0.8,2,14,8
80,0.8,1,11,2
87,0.1,1.9,20,2
407,6.2,4.4,84,2.9
553,44,18,30,3.3
384,0.9,5.9,88,2.7
486,31,17,42,34
2,0,0.3,0.2,0
97,1.4,3.3,22,2.7
168,3.7,4.5,29,0.9
196,15,14,0.8,0
77,5.3,6.3,0.6,0
270,4.2,1.8,2.9,2
122,5,8,12,2
93,2.1,5.6,17,11
1,0,0.2,0,0
304,0,0.3,82,0.2
156,1.7,5,30.2,2.1
97,6.9,3.8,5.2,0
174,1.7,6,41,2.2
307,5,13,51,8
97,0.2,1.5,25,11
45,0.2,0.7,10,0.2
57,0.1,0.4,15,3.1
130,1.5,2.6,26.9,1.1
429,9.5,13,73,14
411,17,46,19,7.1
64,0.8,1.5,14.7,8
32,0.3,0.7,7.7,2
163,14,5.5,6.5,3
76,0.1,1.4,18,2.5
1,0,0,0.2,0
16,0.2,1.2,3.2,0.9
188,7.2,4.4,26.4,2.2
408,3,16,86,13
60,4,3.1,7,0
