Calories,Fats,Proteins,Carbohydrates,Fibre
250,1.5,10,49,4.1
116,0.38,9.02,20.13,7.9
115,1,8,21,6
87,0.1,1.9,20,2
25,0.5,3.8,3.1,2.8
362,2.7,7.5,76,3.4
32,0.3,3,6.3,3.3
297,7.5,11,46,4.9
269,4.25,14.5,44.9,12.5
97,1.4,3.3,22,2.7
109,8.5,2.1,6.3,1.5
168,3.7,4.5,29,0.9
20,0.2,1,5,3
77,5.3,6.3,0.6,0
156,1.7,5,30.2,2.1
116,0.8,17.9,36,14
174,1.7,6,41,2.2
22,0,3,3,1
108,0.2,1.8,24,1
40,0.1,1.1,9.3,1.7
71,0.7,2.2,14,0.9
126,0.7,2.6,28,4.8
81,0.4,5.4,14,5.7
18,0.1,0.7,4.3,1.1
222,2,8,39,5.18
14,0.1,0.9,1.1,0.7
163,14,5.5,6.5,3
76,0.1,1.4,18,2.5
16,0.2,1.2,3.2,0.9
187,9.3,16,9.4,0
188,7.2,4.4,26.4,2.2
360,0.6,6.6,79,1.4
60,4,3.1,7,0
